"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"93496","SN 2021aami","07:02:55.106","+01:40:07.01","SN Ia","0.052","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21bjqr","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","19.189","orange-ATLAS","2021-10-03 13:46:33.600","ATLAS_Bot1","",""
"93485","SN 2021aalx","00:37:08.352","+25:41:37.49","SN Ia","0.032246","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","SCAT","ATLAS; Pan-STARRS1; ZTF","ZTF21acfflog","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","18.3471","r-ZTF","2021-10-04 05:39:22.752","ZTF_CLU_PUBLIC","",""
"93448","SN 2021aakn","16:39:38.288","+71:56:23.85","SN Ia","0.072","","","ZTF, AMPEL","ZTF","ZTF","AMPEL; ZTF","ZTF21acfkkad","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.63","r-ZTF","2021-09-29 04:22:04.800","ZTF_Bot1","",""
"93431","SN 2021aajw","00:28:55.731","-30:05:08.98","SN Ia","0.1","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21bjoc","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","19.191","orange-ATLAS","2021-10-02 09:21:36.000","ATLAS_Bot1","",""
"93399","SN 2021aaiq","21:51:29.704","+26:28:56.90","SN Ia","0.055291","WISEA J215129.71+262856.7","","ALeRCE","ZTF","Global SN Project","ALeRCE","ZTF21acehvay","P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.3207","r-ZTF","2021-09-30 05:44:16.002","ALeRCE","",""
"93385","SN 2021aaic","03:12:51.074","-13:42:06.51","SN Ia","0.058","WISEA J031251.02-134207.0","","ALeRCE, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ePESSTO+","ALeRCE; ATLAS; Pan-STARRS1","ZTF21aceyqog","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.1252","g-ZTF","2021-10-02 09:01:48.000","ALeRCE","",""
"93344","SN 2021aagn","22:53:55.233","-24:30:15.15","SN Ia","0.091","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21acfcthx","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.78","r-ZTF","2021-10-02 06:31:40.800","ZTF_Bot1","",""
"93331","SN 2021aaga","05:39:48.894","-40:58:37.95","SN Ia","0.04","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21bjmc","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","17.387","orange-ATLAS","2021-09-30 13:50:52.800","ATLAS_Bot1","",""
"93330","SN 2021aafz","02:04:18.640","-44:45:10.72","SN Ia","0.07","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21bjma","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","18.492","orange-ATLAS","2021-09-30 09:54:43.200","ATLAS_Bot1","",""
"93308","SN 2021aafd","00:23:09.986","+07:55:55.43","SN Ia","0.1","SDSS J002310.03+075555.1","","ALeRCE, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ePESSTO+","ALeRCE; ATLAS; Pan-STARRS1","ZTF21acekwrh","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.74","g-ZTF","2021-10-01 06:24:08.997","ALeRCE","",""
"93304","SN 2021aaez","00:29:18.849","+27:47:20.44","SN Ia","0.1","SDSS J002918.75+274723.5","","ALeRCE, YSE","ZTF, Pan-STARRS1","YSE","ALeRCE; Pan-STARRS1; YSE","ZTF21acephge","P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","19.8605","g-ZTF","2021-10-01 06:20:05.004","ALeRCE","",""
"93291","SN 2021aaem","23:57:23.398","-15:43:13.39","SN Ia","0.088","","","ALeRCE, Pan-STARRS1, ATLAS","ZTF, Pan-STARRS1, ATLAS","ZTF","ALeRCE; ATLAS; Pan-STARRS1","ZTF21aceujob","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.3767","g-ZTF","2021-10-01 06:27:35.001","ALeRCE","",""
"93226","SN 2021aabz","03:28:56.986","+05:15:12.59","SN Ia","0.08","","","ZTF, ATLAS","ZTF, ATLAS","ePESSTO+","ATLAS; ZTF","ZTF21acedzag","ATLAS1 - ACAM1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.63","g-ZTF","2021-09-27 09:44:38.400","ZTF_Bot1","",""
"93223","SN 2021aabw","05:29:38.250","-23:59:33.54","SN Ia","0.032","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","ePESSTO+","ATLAS; GaiaAlerts; ZTF","ATLAS21bjkf","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.572","orange-ATLAS","2021-09-30 12:57:36.000","ATLAS_Bot1","",""
"93214","SN 2021aabn","07:34:44.064","+74:22:34.56","SN Ia","0.081","","","ALeRCE, ATLAS, Fink","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; Fink","ZTF21aceqgbv","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.5848","r-ZTF","2021-09-30 08:48:19.002","ALeRCE","",""
"93189","SN 2021aaao","04:30:22.105","+38:49:31.04","SN Ia","0.018913","","","ATLAS, ZTF, Fink","ATLAS, ZTF","ZTF","ATLAS; Fink; ZTF","ATLAS21bjka","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.046","orange-ATLAS","2021-09-29 13:16:19.200","ATLAS_Bot1","",""
"93188","SN 2021aaan","22:50:11.265","+30:21:47.85","SN Ia","0.012319","2MASX J22501093+3021456","0.012319","ALeRCE, ATLAS, Pan-STARRS1, Fink, AMPEL","ZTF, ATLAS, Pan-STARRS1","SCAT, ZTF","ALeRCE; AMPEL; ATLAS; Fink; Pan-STARRS1","ZTF21acenkuf","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM, UH88 - SNIFS","1","1","","20.2461","g-ZTF","2021-09-30 06:16:55.001","ALeRCE","",""
"93169","SN 2021zzu","21:43:05.421","-17:32:38.77","SN Ia","0.037","","","ZTF, AMPEL, ATLAS","ZTF, ATLAS","ePESSTO+","AMPEL; ATLAS; ZTF","ZTF21acempzi","ATLAS1 - ACAM1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.75","g-ZTF","2021-09-30 05:03:50.400","ZTF_Bot1","",""
"93141","SN 2021zys","02:53:21.367","-66:07:03.94","SN Ia","0.06","WISEA J025321.40-660702.8","","ASAS-SN","ASAS-SN","ePESSTO+","ASAS-SN","ASASSN-21se","ASASSN-2 - Cassius","ESO-NTT - EFOSC2-NTT","1","1","","17.4","g-Sloan","2021-09-28 02:52:48.000","Stanek","",""
"93113","SN 2021zxq","16:34:48.040","+06:43:49.91","SN Ia","0.025","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF21acdvtmf","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.33","g-ZTF","2021-09-29 03:10:04.800","ZTF_Bot1","",""
"93095","SN 2021zwy","23:09:03.468","-15:47:03.57","SN Ia","0.097","","","ATLAS, ZTF, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ATLAS21bjhj","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.026","orange-ATLAS","2021-09-28 09:14:24.000","ATLAS_Bot1","",""
"93092","SN 2021zwv","02:43:08.522","-09:48:12.79","SN Ia","0.095","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21bjgr","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","19.157","orange-ATLAS","2021-09-28 11:47:02.400","ATLAS_Bot1","",""
"93017","SN 2021zty","16:54:43.530","+10:17:23.17","SN Ia","0.065","","","ZTF, ATLAS, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; Fink; GaiaAlerts; ZTF","ZTF21acdwhtf","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.3","g-ZTF","2021-09-23 03:20:09.600","ZTF_Bot1","",""
"92989","SN 2021zsw","23:09:44.153","-72:00:01.22","SN Ia","0.029","ESO 077-IG 004","0.028917","ASAS-SN","ASAS-SN","ePESSTO+","ASAS-SN","ASASSN-21sd","ASASSN-2 - Cassius, ASASSN-3 - Paczynski","ESO-NTT - EFOSC2-NTT","1","1","","16.5","g-Sloan","2021-09-26 06:57:36.000","Stanek","",""
"92981","SN 2021zso","02:43:28.292","-08:28:42.26","SN Ia","0.102","SDSS J024328.29-082842.3","","ALeRCE, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ALeRCE; ATLAS; Pan-STARRS1","ZTF21acdvban","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.3898","r-ZTF","2021-09-27 08:02:44.002","ALeRCE","",""
"92958","SN 2021zrr","02:40:23.017","-18:26:13.20","SN Ia","0.061","2MASX J02402292-1826063","","ALeRCE, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ALeRCE; ATLAS; Pan-STARRS1","ZTF21aceccve","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.6148","r-ZTF","2021-09-27 08:01:23.002","ALeRCE","",""
"92949","SN 2021zri","09:20:50.857","+42:16:19.92","SN Ia","0.041","KUG 0917+424","0.041323","ALeRCE, ATLAS","ZTF, ATLAS","TCD","ALeRCE; ATLAS","ZTF21acefbte","ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.4247","r-ZTF","2021-09-27 11:44:38.000","ALeRCE","",""
"92929","SN 2021zqo","02:59:06.070","-18:40:16.93","SN Ia","0.067","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF19abkftvd","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.51","r-ZTF","2021-09-27 08:02:24.000","ZTF_Bot1","",""
"92917","SN 2021zqc","18:32:26.141","+51:34:07.62","SN Ia","0.028","","","ZTF, ATLAS, Fink","ZTF, ATLAS","ZTF","ATLAS; Fink; ZTF","ZTF21acdwvwo","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.49","g-ZTF","2021-09-27 04:24:57.600","ZTF_Bot1","",""
"92873","SN 2021zok","20:48:16.050","-15:05:57.78","SN Ia","0.07459","","","Pan-STARRS1, ATLAS","Pan-STARRS1, ATLAS","SCAT","ATLAS; Pan-STARRS1","PS21kiv","ATLAS1 - ACAM1, PS1 - GPC1","UH88 - SNIFS","1","1","","18.76","w-PS1","2021-09-25 06:02:52.800","PS1_Bot1","",""
"92872","SN 2021zoj","00:41:49.727","-00:24:44.11","SN Ia","0.08137","","","Pan-STARRS1, ATLAS, ALeRCE","Pan-STARRS1, ATLAS, ZTF","ZTF","ALeRCE; ATLAS; Pan-STARRS1","PS21kiu","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.88","i-Sloan","2021-09-25 10:26:24.000","PS1_Bot1","",""
"92870","SN 2021zoh","23:01:03.260","-06:41:40.86","SN Ia","0.089","","","Pan-STARRS1, ATLAS, ALeRCE","Pan-STARRS1, ATLAS, ZTF","adH0cc","ALeRCE; ATLAS; Pan-STARRS1","PS21kis","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","VLT-UT1 - FORS2","1","1","","20.66","i-Sloan","2021-09-25 09:10:04.800","PS1_Bot1","",""
"92867","SN 2021zoe","07:58:11.067","+34:20:32.89","SN Ia","0.0198","SDSS J075811.09+342029.0","0.01980166","ALeRCE, ATLAS","ZTF, ATLAS","None, ZTF","ALeRCE; ATLAS","ZTF21acdvkcj","ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT, P60 - SEDM","1","1","","19.1171","r-ZTF","2021-09-26 12:05:37.003","ALeRCE","",""
"92769","SN 2021zkl","01:24:46.381","-11:57:50.85","SN Ia","0.07","","","ATLAS","ATLAS","SCAT, ePESSTO+","ATLAS","ATLAS21bjcd","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT, UH88 - SNIFS","1","1","","18.293","orange-ATLAS","2021-09-24 10:32:09.600","ATLAS_Bot1","",""
"92681","SN 2021zho","08:31:36.632","-05:29:44.33","SN Ia","0.022","","","ZTF, ATLAS, MASTER","ZTF, ATLAS, MASTER","None","ATLAS; MASTER; ZTF","ZTF21acdsnsh","ATLAS1 - ACAM1, Other - Other, P48 - ZTF-Cam","Other - Other","1","1","","19.79","r-ZTF","2021-09-22 12:14:24.000","ZTF_Bot1","",""
"92644","SN 2021zgq","16:49:35.021","+27:50:26.80","SN Ia","0.061091","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21acdoydr","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.07","r-ZTF","2021-09-22 03:24:28.800","ZTF_Bot1","",""
"92633","SN 2021zgf","01:45:23.251","-42:42:01.01","SN Ia","0.054","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21bjai","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","17.518","orange-ATLAS","2021-09-22 10:58:04.800","ATLAS_Bot1","",""
"92629","SN 2021zgb","18:03:43.580","+28:51:13.88","SN Ia","0.06","","","ATLAS, ZTF, Fink, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","ZTF","ATLAS; Fink; Pan-STARRS1; ZTF","ATLAS21bizw","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.072","orange-ATLAS","2021-09-22 05:42:43.200","ATLAS_Bot1","",""
"92615","SN 2021zfw","21:31:37.679","+11:49:58.61","SN Ia","0.028","","","YSE","Pan-STARRS1","UCSC, None","Pan-STARRS1; YSE","PS21kei","PS1 - GPC1","IRTF - SpeX, Other - Other","1","1","","17.02","r-Sloan","2021-09-22 09:05:45.600","YSE_Bot1","",""
