"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"94051","SN 2021abhh","07:12:17.209","+26:46:28.89","SN Ia","0.041","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21achhwdz","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.71","r-ZTF","2021-10-09 11:06:43.200","ZTF_Bot1","",""
"94041","SN 2021abgx","00:13:23.433","+16:36:14.00","SN Ia","0.08","","","YSE, Pan-STARRS1, ATLAS","Pan-STARRS1, ATLAS","YSE","ATLAS; Pan-STARRS1; YSE","PS21ldc","ATLAS1 - ACAM1, PS1 - GPC1","NOT - ALFOSC","1","1","","20.41","i-Sloan","2021-10-01 08:09:36.000","YSE_Bot1","",""
"94021","SN 2021abgd","00:38:21.723","-07:48:58.53","SN Ia","0.08","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21bkbw","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","19.114","orange-ATLAS","2021-10-11 09:54:43.200","ATLAS_Bot1","",""
"93986","SN 2021abew","23:25:31.878","+18:22:26.56","SN Ia","0.04","","","Pan-STARRS1, ATLAS, ZTF","Pan-STARRS1, ATLAS, ZTF","SCAT","ATLAS; Pan-STARRS1; ZTF","PS21lbp","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","20","w-PS1","2021-10-11 10:33:36.000","PS1_Bot1","",""
"93956","SN 2021abds","23:47:07.080","-15:32:01.30","SN Ia","0.07","","","Pan-STARRS1, ATLAS, ZTF","Pan-STARRS1, ATLAS, ZTF","ePESSTO+","ATLAS; Pan-STARRS1; ZTF","PS21las","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","21.71","w-PS1","2021-10-03 07:04:48.000","PS1_Bot1","",""
"93933","SN 2021abcv","23:37:56.163","+16:42:24.79","SN Ia","0.077","SDSS J233756.16+164224.8","","ALeRCE","ZTF","ZTF, ePESSTO+","ALeRCE","ZTF21acgnagk","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","19.464","g-ZTF","2021-10-07 04:18:55.999","ALeRCE","",""
"93893","SN 2021abbh","16:37:41.782","+75:00:02.65","SN Ia","0.041","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS21bkao","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.512","orange-ATLAS","2021-10-11 04:56:38.400","ATLAS_Bot1","",""
"93892","SN 2021abbg","19:52:32.154","-10:09:44.27","SN Ia","0.0455","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS21bkal","ATLAS1 - ACAM1, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.794","orange-ATLAS","2021-10-11 06:51:50.400","ATLAS_Bot1","",""
"93868","SN 2021abaj","01:51:56.772","+54:23:50.26","SN Ia","0.064","WISEA J015158.01+542343.3","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF21acgzgvm","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.0788","g-ZTF","2021-10-10 09:23:01.000","ALeRCE","",""
"93842","SN 2021aazk","23:57:49.113","-09:43:13.32","SN Ia","0.065","","","ZTF, ATLAS","ZTF, ATLAS","ePESSTO+","ATLAS; ZTF","ZTF21acgxzha","ATLAS1 - ACAM1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.94","r-ZTF","2021-10-10 07:10:33.600","ZTF_Bot1","",""
"93841","SN 2021aazj","04:56:44.063","-16:38:55.62","SN Ia","0.062","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21acfigoo","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.89","r-ZTF","2021-10-02 10:30:43.200","ZTF_Bot1","",""
"93819","SN 2021aayn","04:08:04.700","-06:18:00.85","SN Ia","0.087","SDSS J040804.69-061800.9","0.08689044","ALeRCE","ZTF","ePESSTO+","ALeRCE","ZTF20aaprrgg","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.1841","g-ZTF","2021-10-09 09:03:57.004","ALeRCE","",""
"93690","SN 2021aatq","07:36:31.359","-01:35:17.45","SN Ia","0.06","","","ATLAS, ZTF","ATLAS, ZTF","ePESSTO+","ATLAS; ZTF","ATLAS21bjxt","ATLAS1 - ACAM1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.028","orange-ATLAS","2021-10-07 14:05:16.800","ATLAS_Bot1","",""
"93654","SN 2021aasg","08:45:04.573","+19:39:58.82","SN Ia","0.085","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS21bjvt","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.502","orange-ATLAS","2021-10-06 13:14:52.800","ATLAS_Bot1","",""
"93601","SN 2021aaqi","01:13:10.650","-15:33:34.65","SN Ia","0.19","","","YSE","Pan-STARRS1","YSE","Pan-STARRS1; YSE","PS21kvg","PS1 - GPC1","NOT - ALFOSC","1","1","","20.43","g-Sloan","2021-10-03 11:31:12.000","YSE_Bot1","",""
"93597","SN 2021aaqe","23:56:42.504","-20:54:11.44","SN Ia","0.09","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","ePESSTO+","ATLAS; Pan-STARRS1","ATLAS21bjul","ATLAS1 - ACAM1, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.369","orange-ATLAS","2021-10-06 09:27:21.600","ATLAS_Bot1","",""
"93594","SN 2021aaqb","00:06:38.013","-34:54:15.19","SN Ia","0.04","","","ATLAS, MASTER","ATLAS, MASTER","ePESSTO+","ATLAS; MASTER","ATLAS21bjts","ATLAS1 - ACAM1, Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","18.531","orange-ATLAS","2021-10-06 09:25:55.200","ATLAS_Bot1","",""
"93528","SN 2021aann","00:09:56.086","-22:18:44.53","SN Ia","0.1","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","ePESSTO+","ATLAS; Pan-STARRS1","ATLAS21bjrc","ATLAS1 - ACAM1, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.041","orange-ATLAS","2021-10-04 09:44:38.400","ATLAS_Bot1","",""
"93517","SN 2021aanc","01:04:33.443","+15:47:08.73","SN Ia","0.037","SDSS J010433.45+154710.4","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF21acfgjiw","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4418","r-ZTF","2021-10-04 05:38:41.997","ALeRCE","",""
"93497","SN 2021aamj","19:44:03.170","-52:14:31.80","SN Ia","0.05","","","MASTER","MASTER","ePESSTO+","MASTER","MASTER OT J194403.17-521431.8","Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","18","Clear-","2021-10-04 00:54:51.840","MASTER","",""
