[INFO] root: 2023-02-20 09:44:31,220 [11471:MainProcess] Starting tarball ztf_public_20200103.tar.gz (8.2G)
[INFO] root: 2023-02-20 09:44:31,221 [11471:MainProcess] downloading
[INFO] root: 2023-02-20 09:46:51,076 [11471:MainProcess] extracting
[INFO] root: 2023-02-20 09:49:13,877 [11471:MainProcess] prepping
[INFO] root: 2023-02-20 09:49:13,879 [11471:MainProcess] alert version = 3.3
[INFO] root: 2023-02-20 09:49:14,010 [11471:MainProcess] fixing schemas
[INFO] root: 2023-02-20 09:49:58,281 [11471:MainProcess] loading
[INFO] root: 2023-02-20 09:49:58,283 [11471:MainProcess] loading to bucket ztf_public_20200103.tar.gz
[INFO] root: 2023-02-20 09:51:10,608 [16255:MainProcess] submitting bigquery load job ztf_public_20200920.tar.gz
[INFO] root: 2023-02-20 09:51:11,522 [16255:MainProcess] done with ztf_public_20200920.tar.gz (13G)
[INFO] root: 2023-02-20 09:51:11,601 [16255:MainProcess] Starting tarball ztf_public_20200921.tar.gz (13G)
[INFO] root: 2023-02-20 09:51:11,601 [16255:MainProcess] downloading
[INFO] root: 2023-02-20 09:51:36,199 [11700:MainProcess] submitting bigquery load job ztf_public_20200605.tar.gz
[INFO] root: 2023-02-20 09:51:36,624 [11700:MainProcess] done with ztf_public_20200605.tar.gz (5.7G)
[INFO] root: 2023-02-20 09:51:36,664 [11700:MainProcess] Starting tarball ztf_public_20200608.tar.gz (1.0G)
[INFO] root: 2023-02-20 09:51:36,665 [11700:MainProcess] downloading
[INFO] root: 2023-02-20 09:51:54,274 [11700:MainProcess] extracting
[INFO] root: 2023-02-20 09:52:09,998 [11700:MainProcess] prepping
[INFO] root: 2023-02-20 09:52:10,000 [11700:MainProcess] alert version = 3.3
[INFO] root: 2023-02-20 09:52:10,121 [11700:MainProcess] fixing schemas
[INFO] root: 2023-02-20 09:52:16,887 [11700:MainProcess] loading
[INFO] root: 2023-02-20 09:52:16,889 [11700:MainProcess] loading to bucket ztf_public_20200608.tar.gz
[INFO] root: 2023-02-20 09:54:21,645 [11700:MainProcess] submitting bigquery load job ztf_public_20200608.tar.gz
[INFO] root: 2023-02-20 09:54:21,953 [11700:MainProcess] done with ztf_public_20200608.tar.gz (1.0G)
[INFO] root: 2023-02-20 09:54:21,961 [11700:MainProcess] Starting tarball ztf_public_20200609.tar.gz (4.6G)
[INFO] root: 2023-02-20 09:54:21,961 [11700:MainProcess] downloading
[INFO] root: 2023-02-20 09:55:34,424 [11700:MainProcess] extracting
[INFO] root: 2023-02-20 09:56:45,843 [11700:MainProcess] prepping
[INFO] root: 2023-02-20 09:56:45,845 [11700:MainProcess] alert version = 3.3
[INFO] root: 2023-02-20 09:56:45,961 [11700:MainProcess] fixing schemas
[INFO] root: 2023-02-20 09:57:12,254 [11700:MainProcess] loading
[INFO] root: 2023-02-20 09:57:12,255 [11700:MainProcess] loading to bucket ztf_public_20200609.tar.gz
[INFO] root: 2023-02-20 09:57:18,967 [16255:MainProcess] extracting
[INFO] root: 2023-02-20 10:00:55,885 [16255:MainProcess] prepping
[INFO] root: 2023-02-20 10:00:55,887 [16255:MainProcess] alert version = 3.3
[INFO] root: 2023-02-20 10:00:56,030 [16255:MainProcess] fixing schemas
[INFO] root: 2023-02-20 10:02:54,219 [16255:MainProcess] loading
[INFO] root: 2023-02-20 10:02:54,221 [16255:MainProcess] loading to bucket ztf_public_20200921.tar.gz
[INFO] root: 2023-02-20 10:08:21,265 [11700:MainProcess] submitting bigquery load job ztf_public_20200609.tar.gz
[INFO] root: 2023-02-20 10:08:21,742 [11700:MainProcess] done with ztf_public_20200609.tar.gz (4.6G)
[INFO] root: 2023-02-20 10:08:21,778 [11700:MainProcess] Starting tarball ztf_public_20200610.tar.gz (3.8G)
[INFO] root: 2023-02-20 10:08:21,778 [11700:MainProcess] downloading
[INFO] root: 2023-02-20 10:08:38,106 [11471:MainProcess] submitting bigquery load job ztf_public_20200103.tar.gz
[INFO] root: 2023-02-20 10:08:38,587 [11471:MainProcess] done with ztf_public_20200103.tar.gz (8.2G)
[INFO] root: 2023-02-20 10:08:38,640 [11471:MainProcess] Starting tarball ztf_public_20200104.tar.gz (11G)
[INFO] root: 2023-02-20 10:08:38,640 [11471:MainProcess] downloading
