ztf_public_20180601.tar.gz,1.8,20180601,20180718
ztf_public_20180719.tar.gz,3.0,20180719,20180919
ztf_public_20180920.tar.gz,3.1,20180920,20190618
ztf_public_20190619.tar.gz,3.3,20190619,
