id,source_id,asassn_name,other_names,raj2000,dej2000,l,b,mean_vmag,amplitude,period,variable_type,class_probability,lksl_statistic,rfr_score,epoch_hjd,gdr2_id,phot_g_mean_mag,e_phot_g_mean_mag,phot_bp_mean_mag,e_phot_bp_mean_mag,phot_rp_mean_mag,e_phot_rp_mean_mag,bp_rp,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,vt,dist,allwise_id,j_mag,e_j_mag,h_mag,e_h_mag,k_mag,e_k_mag,w1_mag,e_w1_mag,w2_mag,e_w2_mag,w3_mag,e_w3_mag,w4_mag,e_w4_mag,j_k,w1_w2,w3_w4,apass_dr9_id,apass_vmag,e_apass_vmag,apass_bmag,e_apass_bmag,apass_gpmag,e_apass_gpmag,apass_rpmag,e_apass_rpmag,apass_ipmag,e_apass_ipmag,b_v,e_b_v,vector_x,vector_y,vector_z,reference,periodic,classified,asassn_discovery,created_at,updated_at,edr3_source_id,galex_id,FUVmag,e_FUVmag,NUVmag,e_NUVmag,tic_id,pm,ruwe
8e23ac22-e2f1-54b7-9c5b-a7d8c7c0a63b,407237,ASASSN-V J001124.77-112842.7,WW Cet,2.8532,-11.47852,90.00652,-71.74315,13.15,2.74,,UGZ,,0.66,0.89,2457650.6981,2427474150870396928,13.479814,0.034204,13.720854,0.120353,12.983431,0.079242,0.737423,4.5406,0.0296,153.2137,12.458,0.031,13.51,0.022,399.451670232624,218.068878,J001124.78-112843.1,11.075,0.023,10.931,0.023,10.823,0.025,11.149,0.022,11.01,0.021,10.621,0.101,8.539,,0.252,0.139,2.082,16515265,13.702,1.211,13.801,1.208,13.677,1.274,13.598,1.053,13.437,0.757,0.098,0.031,0.978784520971997,0.0487815811878623,-0.199000549854594,The ASAS-SN Catalog of Variable Stars: II,false,false,false,2019-04-16 09:55:44 UTC,2021-08-05 17:48:58 UTC,EDR3 2427474150870397056,GALEX J001124.7-112841,15.6808,0.0144,15.537,0.0087,TIC 37697003,18.377,1.636
4721a39e-3b63-5fd8-9f84-72ac5ae79a27,174980,ASASSN-V J001153.08-064739.2,SDSS J001153.08-064739.1,2.97117,-6.79422,96.34819,-67.60123,17.39,0.97,,UG,,0.89,0.84,2457678.88731,2443219535337313280,17.182928,0.005229,17.63047,0.018182,16.53501,0.018847,1.095461,2.0658,0.0835,24.7373,16.527,0.097,0.305,0.059,163.433298396281,479.408539,J001153.09-064738.3,15.767,0.078,15.268,0.082,15.041,0.135,14.785,0.032,14.604,0.064,11.909,,8.827,,0.726,0.181,3.082,,,,,,,,,,,,,0.033,0.991642630424094,0.0514694576119247,-0.118303797313178,The ASAS-SN Catalog of Variable Stars: II,false,false,false,2019-04-16 09:55:43 UTC,2021-08-05 17:06:24 UTC,EDR3 2443219535337313280,GALEX J001153.0-064738,19.7034,0.1433,18.9765,0.0551,TIC 398667560,16.53,1.038
ac02fcf9-ceb2-5265-ae15-c6103ffd419b,339526,ASASSN-V J001436.25+503240.3,MASTER OT J001436.25+503240.3,3.65104,50.54453,116.96658,-11.9001,18.32,3.02,,UG,,0.91,0.82,2457228.02642,,20.276964,0.020956,20.716444,0.098876,19.692804,0.110929,1.02364,2.1781,0.4249,5.1259,-9.551,0.351,-8.344,0.443,7.56061497631645,7951.0332,J001436.29+503239.4,,,,,,,16.696,0.067,16.85,0.28,12.634,,9.409,,,-0.154,3.225,2857269,16.263,0.415,16.209,0.414,15.493,0.0,16.008,0.0,,,-0.054,0.14,0.634188557065468,0.0404669755270261,0.772118707181036,The ASAS-SN Catalog of Variable Stars: II,false,false,false,2019-04-16 09:55:43 UTC,2021-08-05 16:28:32 UTC,EDR3 394579405697456768,GALEX J001436.3+503239,17.3829,0.0444,17.1414,0.026,TIC 601801096,12.682,1.057
d282b975-4703-5d2a-b7bf-0b1fde6f6bbe,93650,ASASSN-V J001538.23+263657.1,CSS 090918:001538+263657,3.90929,26.61585,113.0861,-35.57052,17.5,4.0,,UGSU,,0.68,0.87,2457941.00714,2856493142666940416,17.659555,0.019124,17.851135,0.068498,17.122875,0.0626,0.72826,1.8044,0.1065,16.9361,22.39,0.098,-10.733,0.103,215.017466243658,547.361755,J001538.25+263656.7,16.256,0.098,15.787,0.151,15.485,0.2,14.926,0.033,14.777,0.067,12.617,,8.966,,0.771,0.149,3.651,18097219,14.547,0.638,14.574,0.609,14.503,0.61,14.616,0.597,14.54,0.52,0.026,0.035,0.891950140803231,0.0609523557964406,0.448006424779779,The ASAS-SN Catalog of Variable Stars: II,false,false,false,2019-04-16 09:55:44 UTC,2021-08-05 16:55:53 UTC,EDR3 2856493142666940544,,,,,,TIC 306066903,24.83,1.035
d036433f-112a-50ca-86be-ecd28e262938,203992,ASASSN-V J001807.91+572607.4,DK Cas,4.53296,57.43539,118.44327,-5.1458,17.01,2.32,220.394612,UGSS,,0.47,0.77,2457980.05192,422028021997432064,18.377619,0.007758,19.174278,0.039969,17.401611,0.023578,1.772667,0.7616,0.118,6.4559,2.901,0.113,-3.417,0.113,15.717005429599,1351.81348,J001807.80+572606.6,15.358,,15.149,0.145,14.226,,13.82,0.025,13.735,0.03,12.383,,9.504,,1.132,0.085,2.879,3264073,15.324,0.122,15.496,0.14,15.267,0.0,15.191,0.045,14.97,0.0,0.172,0.534,0.536566694474252,0.0425393062749982,0.84278501992063,The ASAS-SN Catalog of Variable Stars: II,true,false,false,2019-04-16 09:55:43 UTC,2021-08-05 18:10:27 UTC,EDR3 422028021997432064,,,,,,TIC 327449468,4.483,1.135
538dbac1-b9c2-5b16-9269-9d81c8605ab4,275852,ASASSN-V J001815.08+661813.2,V0513 Cas,4.56284,66.30367,119.60062,3.64681,15.84,1.32,56.2339685,UGZ,,0.49,0.78,2457298.01104,528218378264691072,15.776119,0.027769,16.355057,0.088791,14.930354,0.075328,1.424703,1.1668,0.03,38.8633,6.034,0.03,-1.398,0.032,35.0165731520652,838.424866,J001814.91+661813.6,13.566,0.026,13.221,0.036,12.994,0.032,12.871,0.025,12.829,0.027,12.532,,9.184,,0.572,0.042,3.348,4570535,15.87,0.168,16.643,0.219,16.254,0.189,15.53,0.177,15.115,0.128,0.773,2.13,0.400615410317185,0.0319712573423524,0.915688337656619,The ASAS-SN Catalog of Variable Stars: II,true,false,false,2019-04-16 09:55:44 UTC,2021-08-05 16:38:38 UTC,EDR3 528218378264691072,,,,,,TIC 378769242,6.194,1.078
90e51ad8-6ec7-55ad-a4e6-6b38f5a04113,135024,ASASSN-V J001952.31+464933.0,MASTER OT J001952.31+464933.0,4.96796,46.82583,117.33189,-15.7024,17.31,1.03,,UGSU,,0.76,0.84,2457236.12535,,20.805271,0.030206,21.048395,0.159013,19.910145,0.227249,1.13825,0.1451,1.5899,0.0913,-2.145,1.495,-0.21,1.101,1.20798660275579,8456.97266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,0.681647986924543,0.0592523925342471,0.729277159864949,The ASAS-SN Catalog of Variable Stars: II,false,false,false,2019-04-16 09:55:44 UTC,2021-08-05 16:28:26 UTC,EDR3 392078154180000128,,,,,,TIC 601559880,2.155,1.125
64862e5f-8d2c-5ad9-b6cd-72256ee5f5f1,164211,ASASSN-V J002018.88-735207.4,VW Tuc,5.07865,-73.86872,305.88395,-43.08068,16.36,1.91,,UG,,0.44,0.91,2457933.83396,4688478831089666048,17.301437,0.051201,17.327637,0.169836,16.762669,0.121368,0.564968,0.6549,0.0464,14.11,0.003,0.047,0.517,0.063,1.67739288732316,1460.97034,J002019.02-735208.0,15.887,0.086,15.582,0.116,15.419,0.192,15.23,0.032,15.056,0.056,12.735,,8.764,,0.468,0.174,3.971,,,,,,,,,,,,,0.035,0.276748375839594,0.0245951924540003,-0.960627614103559,The ASAS-SN Catalog of Variable Stars: II,false,false,false,2019-04-16 09:55:43 UTC,2021-08-05 17:54:02 UTC,EDR3 4688478831089666432,GALEX J002018.8-735207,18.0419,0.0546,17.56,0.0296,TIC 267084378,0.517,1.082
21f7356a-c36a-5141-a32c-552c2e26757b,452942,ASASSN-V J002146.02+400412.1,DDE 72,5.44176,40.07002,116.79549,-22.44793,15.51,2.24,,UG,,0.69,0.81,2456882.99284,380316777081879680,16.387861,0.052513,16.32574,0.158708,15.866887,0.116218,0.458854,0.6878,0.0358,19.2327,-2.344,0.032,-4.613,0.026,17.3913405568893,1410.27161,J002146.00+400411.7,15.264,0.052,15.148,0.096,14.872,0.117,15.161,0.035,15.035,0.068,12.296,,9.16,,0.392,0.126,3.136,2674568,15.25,0.249,15.391,0.287,15.296,0.25,15.316,0.239,15.46,0.279,0.141,0.066,0.761809398085719,0.0725724346590548,0.643723296701254,The ASAS-SN Catalog of Variable Stars: II,false,false,false,2019-04-16 09:55:43 UTC,2021-08-05 17:59:34 UTC,EDR3 380316777081879680,GALEX J002145.9+400412,15.8233,0.0183,15.9356,0.011,TIC 288297422,5.175,0.965
b8e182d4-e4ae-5dfb-ab32-540626d82251,82548,ASASSN-V J002148.49+350451.6,FBS 0019+348,5.45203,35.081,116.10715,-27.39779,14.4,0.36,824.6260808,CV,,0.43,0.79,2457362.77928,2864236144068661248,14.336353,0.006357,14.379124,0.019987,14.184264,0.016444,0.19486,1.0551,0.0249,42.3783,8.801,0.031,-6.117,0.024,55.2563191535577,919.411011,J002148.45+350451.1,14.056,0.029,13.781,0.035,13.732,0.042,13.57,0.024,13.468,0.031,12.438,,8.827,,0.324,0.102,3.611,18143050,14.606,0.107,14.658,0.134,14.511,0.108,14.591,0.097,14.618,0.131,0.052,0.062,0.814638257273829,0.0777524309210286,0.574733911711959,The ASAS-SN Catalog of Variable Stars: II,true,false,false,2019-04-16 09:55:44 UTC,2021-08-05 18:16:02 UTC,EDR3 2864236144068661376,GALEX J002148.3+350451,14.9289,0.0134,14.9689,0.0092,TIC 58017207,10.718,0.978
